"Rank","Country"
"1","Norway"
"2","United States"
"3","Azerbaijan"
"4","China"
"5","Netherlands"
"6","France"
"7","Russia"
"8","India"
"9","Russia"
"10","Armenia"
"11","United States"
"12","China"
"13","Russia"
"14","Azerbaijan"
"15","Russia"
"16","United States"
"17","Bulgaria"
"18","Czech Republic"
"19","Poland"
"20","Russia"
"21","Azerbaijan"
"22","China"
"23","Hungary"
"24","India"
"25","Russia"
"26","China"
"27","United States"
"28","Russia"
"29","Poland"
"30","Russia"
"31","Russia"
"32","Vietnam"
"33","China"
"34","Ukraine"
"35","Egypt"
"36","Russia"
"37","Russia"
"38","Russia"
"39","Azerbaijan"
"40","United Kingdom"
"41","Russia"
"42","Ukraine"
"43","China"
"44","Spain"
"45","India"
"46","United Kingdom"
"47","Russia"
"48","Georgia"
"49","United Kingdom"
"50","Croatia"
"51","India"
"52","Peru"
"53","Armenia"
"54","Belarus"
"55","Austria"
"56","United Kingdom"
"57","China"
"58","France"
"59","China"
"60","Ukraine"
"61","Sweden"
"62","Azerbaijan"
"63","Hungary"
"64","Germany"
"65","Ukraine"
"66","Iran"
"67","Russia"
"68","India"
"69","Czech Republic"
"70","United Arab Emirates"
"71","United States"
"72","Russia"
"73","Israel"
"74","Israel"
"75","Israel"
"76","Hungary"
"77","United States"
"78","United States"
"79","India"
"80","Ukraine"
"81","Azerbaijan"
"82","Cuba"
"83","United Kingdom"
"84","Latvia"
"85","Russia"
"86","China"
"87","Argentina"
"88","Ukraine"
"89","Russia"
"90","Armenia"
"91","Hungary"
"92","Uzbekistan"
"93","Spain"
"94","Russia"
"95","Netherlands"
"96","Russia"
"97","France"
"98","Czech Republic"
"99","Norway"
"100","Russia"